%time,field.header.seq,field.header.stamp,field.header.frame_id,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.magnetic_field_covariance0,field.magnetic_field_covariance1,field.magnetic_field_covariance2,field.magnetic_field_covariance3,field.magnetic_field_covariance4,field.magnetic_field_covariance5,field.magnetic_field_covariance6,field.magnetic_field_covariance7,field.magnetic_field_covariance8
1581113097550572126,1,1581113097550167083,,0.186,0.1261,0.3884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113097573559238,2,1581113097573276042,,0.1859,0.1181,0.3896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113097598140523,3,1581113097597878932,,0.183,0.1202,0.3894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113097623123804,4,1581113097622843980,,0.1859,0.1191,0.3817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113097647950409,5,1581113097647676944,,0.1859,0.1211,0.3806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113097673663875,6,1581113097673427104,,0.1878,0.12,0.384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113097698163936,7,1581113097697860956,,0.185,0.1271,0.3917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113097723311351,8,1581113097723077058,,0.1859,0.1181,0.3873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113097748195375,9,1581113097747931003,,0.1859,0.1181,0.3896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113097772950400,10,1581113097772670984,,0.1849,0.1191,0.3805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113097805786216,11,1581113097804898023,,0.1849,0.1211,0.3895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113097824322374,12,1581113097823860883,,0.1839,0.1182,0.3816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113097849281721,13,1581113097849028110,,0.1849,0.1211,0.3873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113097873485580,14,1581113097873249053,,0.184,0.1221,0.3861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113097898194271,15,1581113097897914886,,0.184,0.1202,0.3906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113097923731558,16,1581113097923525094,,0.1869,0.126,0.3873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113097948792924,17,1581113097948476076,,0.184,0.1202,0.3895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113097974739440,18,1581113097974461078,,0.1858,0.1161,0.3896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113097998561030,19,1581113097998275995,,0.184,0.1241,0.3861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113098024428510,20,1581113098024152040,,0.1859,0.1211,0.3839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113098049270867,21,1581113098048953056,,0.183,0.1232,0.3906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113098075402556,22,1581113098074512004,,0.1878,0.12,0.3851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113098098464897,23,1581113098098184108,,0.1839,0.1142,0.3884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113098124953920,24,1581113098124679088,,0.185,0.1231,0.3884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113098149341730,25,1581113098149054050,,0.1859,0.1191,0.3851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113098174264758,26,1581113098173942089,,0.1859,0.1181,0.3884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113098199547362,27,1581113098199222087,,0.1831,0.1252,0.3849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113098224926094,28,1581113098224597930,,0.184,0.1192,0.3895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113098249820564,29,1581113098249517917,,0.1851,0.132,0.3861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113098274526700,30,1581113098274235010,,0.1849,0.1172,0.3862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113098299275564,31,1581113098298938989,,0.1849,0.1201,0.3918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113098324259224,32,1581113098323872089,,0.1859,0.1251,0.3862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113098349936902,33,1581113098349602937,,0.1859,0.1201,0.3862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
