%time,field.header.seq,field.header.stamp,field.header.frame_id,field.lat,field.lon,field.alt,field.utm_east,field.utm_north,field.zone_num,field.zone_letter
1580869163389918791,50,1580869163389311075,,42.3370316667,-71.0898316667,15.7,327837.789122,4689312.66027,19,T
1580869164406080638,51,1580869164405596971,,42.3370316667,-71.0898316667,15.7,327837.789122,4689312.66027,19,T
1580869165402718131,52,1580869165402153015,,42.3370316667,-71.0898316667,15.7,327837.789122,4689312.66027,19,T
1580869166382718986,53,1580869166382033109,,42.3370316667,-71.0898316667,15.7,327837.789122,4689312.66027,19,T
1580869167381812978,54,1580869167381114006,,42.3370316667,-71.0898316667,15.7,327837.789122,4689312.66027,19,T
1580869168381132924,55,1580869168380486011,,42.3370316667,-71.0898316667,15.7,327837.789122,4689312.66027,19,T
1580869169403821923,56,1580869169402695894,,42.3370316667,-71.0898316667,15.7,327837.789122,4689312.66027,19,T
1580869170389743676,57,1580869170389096975,,42.3370316667,-71.0898316667,15.7,327837.789122,4689312.66027,19,T
1580869171381471568,58,1580869171380944967,,42.3370316667,-71.0898316667,15.7,327837.789122,4689312.66027,19,T
1580869172381023928,59,1580869172380340099,,42.3370316667,-71.0898316667,15.7,327837.789122,4689312.66027,19,T
1580869173387331095,60,1580869173386665105,,42.3370316667,-71.0898316667,15.8,327837.789122,4689312.66027,19,T
