%time,field.header.seq,field.header.stamp,field.header.frame_id,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.magnetic_field_covariance0,field.magnetic_field_covariance1,field.magnetic_field_covariance2,field.magnetic_field_covariance3,field.magnetic_field_covariance4,field.magnetic_field_covariance5,field.magnetic_field_covariance6,field.magnetic_field_covariance7,field.magnetic_field_covariance8
1581113387878210998,44,1581113387876924991,,0.1926,0.1169,0.3854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113387895890499,45,1581113387895526885,,0.1906,0.113,0.3875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113387919339753,46,1581113387918999910,,0.1917,0.1269,0.3875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113387944883191,47,1581113387944654941,,0.1916,0.1189,0.3898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113387969862419,48,1581113387969624042,,0.1916,0.117,0.3797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113387994623338,49,1581113387994366884,,0.1907,0.118,0.3864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113388019234907,50,1581113388018994092,,0.1906,0.114,0.3842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113388044115072,51,1581113388043838977,,0.1916,0.115,0.3909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113388069803860,52,1581113388069557905,,0.1897,0.12,0.3875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113388094641789,53,1581113388094399929,,0.1917,0.1219,0.3875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113388119426415,54,1581113388119127035,,0.1907,0.117,0.3841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113388144447073,55,1581113388144151926,,0.1926,0.1169,0.3809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113388169521815,56,1581113388169199943,,0.1917,0.1269,0.383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113388194207197,57,1581113388193975925,,0.1908,0.1328,0.3841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113388219660462,58,1581113388219388008,,0.1916,0.1179,0.3831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113388244720457,59,1581113388244407892,,0.1877,0.1131,0.3885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113388269790315,60,1581113388269505023,,0.1916,0.1179,0.3853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113388294522362,61,1581113388294224023,,0.1916,0.115,0.3887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113388319473822,62,1581113388319166898,,0.1916,0.115,0.3876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113388344485589,63,1581113388344135046,,0.1907,0.118,0.3875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113388369719745,64,1581113388369363069,,0.1896,0.1121,0.3841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113388394623310,65,1581113388394325971,,0.1916,0.116,0.3842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113388419441372,66,1581113388419085025,,0.1916,0.116,0.3876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113388444485768,67,1581113388444176912,,0.1897,0.116,0.3886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113388478261471,68,1581113388477206945,,0.1935,0.1159,0.3831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113388495302904,69,1581113388494946002,,0.1907,0.117,0.3808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113388519408713,70,1581113388519131898,,0.1897,0.116,0.3875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113388544211938,71,1581113388543929100,,0.1925,0.114,0.391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113388570585835,72,1581113388570158958,,0.1887,0.118,0.3897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113388594857222,73,1581113388594604015,,0.1897,0.118,0.3841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113388619683722,74,1581113388619421958,,0.1926,0.1159,0.3921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113388644716161,75,1581113388644428014,,0.1926,0.1169,0.3899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113388669502881,76,1581113388669182062,,0.1908,0.1279,0.3841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113388694487834,77,1581113388694170951,,0.1917,0.1239,0.3853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113388719813601,78,1581113388719516038,,0.1916,0.113,0.3774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113388744849232,79,1581113388744549989,,0.1935,0.1159,0.3865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113388769607436,80,1581113388769350051,,0.1935,0.1159,0.3854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113388794498354,81,1581113388794171094,,0.1945,0.1188,0.3776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113388819446343,82,1581113388819093942,,0.1925,0.111,0.3842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113388845635580,83,1581113388845338106,,0.1897,0.115,0.3864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113388869881200,84,1581113388869591951,,0.1898,0.1299,0.3841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113388894881161,85,1581113388894577980,,0.1916,0.117,0.3864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113388919487095,86,1581113388919182062,,0.1916,0.115,0.3853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113388944466588,87,1581113388944111108,,0.1916,0.1179,0.3842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113388969773176,88,1581113388969521999,,0.1888,0.12,0.3908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113388995101836,89,1581113388994779109,,0.1926,0.1189,0.3842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113389019495797,90,1581113389019200086,,0.1897,0.121,0.3886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113389044683280,91,1581113389044419050,,0.1897,0.122,0.3875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113389069442662,92,1581113389069072008,,0.1935,0.1169,0.3865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113389094550062,93,1581113389094232082,,0.1907,0.117,0.3886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113389119750493,94,1581113389119450092,,0.1926,0.1179,0.3876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113389145002753,95,1581113389144746065,,0.1906,0.115,0.3875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113389169628610,96,1581113389169368982,,0.1907,0.117,0.3898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113389194525664,97,1581113389194211006,,0.1916,0.1199,0.3808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113389228232351,98,1581113389227499008,,0.1926,0.1199,0.3921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113389245407178,99,1581113389244960069,,0.1926,0.1159,0.3775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113389269498065,100,1581113389269174098,,0.1916,0.115,0.3887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113389294440162,101,1581113389294128894,,0.1916,0.113,0.3887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113389320414957,102,1581113389320024967,,0.1907,0.12,0.3841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113389352700963,103,1581113389351805925,,0.1916,0.116,0.3808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113389370566366,104,1581113389370152950,,0.1906,0.116,0.3886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113389394852818,105,1581113389394558906,,0.1945,0.1179,0.3854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113389419279367,106,1581113389419008970,,0.1897,0.114,0.3897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113389444501082,107,1581113389444118976,,0.1897,0.119,0.3886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113389477876341,108,1581113389476924896,,0.1926,0.1209,0.3876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113389495741998,109,1581113389495301008,,0.1917,0.1289,0.3819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113389520462522,110,1581113389520169973,,0.1925,0.114,0.3876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113389544459395,111,1581113389544161081,,0.1916,0.114,0.3898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113389572544451,112,1581113389572225093,,0.1906,0.114,0.3909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113389614408770,113,1581113389613178014,,0.1926,0.1229,0.3752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113389624896778,114,1581113389624499082,,0.1927,0.1239,0.3876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113389645134191,115,1581113389644819021,,0.1917,0.1229,0.3875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113389670336181,116,1581113389670054912,,0.1927,0.1298,0.3842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113389694347400,117,1581113389694127082,,0.1926,0.1159,0.3887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113389720875788,118,1581113389720627069,,0.1926,0.1209,0.3865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113389744718645,119,1581113389744488954,,0.1907,0.121,0.3864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113389770520387,120,1581113389770226001,,0.1907,0.1239,0.3897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113389794875998,121,1581113389794606924,,0.1945,0.1208,0.3854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113389820244522,122,1581113389820003986,,0.1897,0.117,0.3909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113389845842806,123,1581113389845618963,,0.1916,0.118,0.3898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113389870767144,124,1581113389870533943,,0.1937,0.1278,0.3797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113389895005447,125,1581113389894721031,,0.1907,0.12,0.3864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113389920547907,126,1581113389920145988,,0.1925,0.114,0.3809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113389944470473,127,1581113389944137096,,0.1897,0.116,0.3841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113389971424765,128,1581113389970665931,,0.1917,0.1279,0.3875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113389995803476,129,1581113389995569944,,0.1916,0.1189,0.3853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113390020565956,130,1581113390020257949,,0.1926,0.1179,0.391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113390045666605,131,1581113390045361042,,0.1907,0.118,0.3886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113390070438292,132,1581113390070102930,,0.1897,0.116,0.3886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113390095666656,133,1581113390095397949,,0.1935,0.1179,0.3876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113390120634233,134,1581113390120296001,,0.1916,0.115,0.3876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113390145983901,135,1581113390145596027,,0.1906,0.115,0.3797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113390170605547,136,1581113390170253038,,0.1907,0.117,0.3875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113390195613696,137,1581113390195307970,,0.1897,0.119,0.3875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113390220362622,138,1581113390220081090,,0.1908,0.1309,0.3841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113390245823033,139,1581113390245548963,,0.1906,0.115,0.3932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113390270675876,140,1581113390270411014,,0.1916,0.118,0.3864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113390295740148,141,1581113390295464038,,0.1935,0.1139,0.3865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113390320509834,142,1581113390320151090,,0.1907,0.119,0.3875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113390345305810,143,1581113390345009088,,0.1916,0.1199,0.3797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113390381115923,144,1581113390379762887,,0.1906,0.116,0.3796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113390399985325,145,1581113390399547100,,0.1917,0.1239,0.3853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113390420553752,146,1581113390420239925,,0.1897,0.116,0.3886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113390445261664,147,1581113390444979906,,0.1935,0.1129,0.3899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113390470540608,148,1581113390470273971,,0.1907,0.118,0.3864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113390495773647,149,1581113390495544910,,0.1916,0.115,0.3887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113390520978386,150,1581113390520725011,,0.1888,0.122,0.384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113390545766414,151,1581113390545496940,,0.1907,0.118,0.3886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113390570994700,152,1581113390570591926,,0.1906,0.116,0.3909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113390604165604,153,1581113390602859020,,0.1916,0.114,0.3842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113390622275225,154,1581113390621650934,,0.1916,0.1189,0.3909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113390645670293,155,1581113390645405054,,0.1897,0.117,0.3909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113390670332410,156,1581113390670017004,,0.1916,0.1189,0.3842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113390695271933,157,1581113390694994926,,0.1906,0.114,0.3887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113390721552991,158,1581113390720788955,,0.1916,0.118,0.3887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113390745973614,159,1581113390745629072,,0.1926,0.115,0.3899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113390771024230,160,1581113390770771026,,0.1935,0.1159,0.3888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113390795601105,161,1581113390795253038,,0.1907,0.12,0.3853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113390820397661,162,1581113390820065021,,0.1925,0.113,0.391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113390845951487,163,1581113390845663070,,0.1926,0.1229,0.3898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113390871107866,164,1581113390870826959,,0.1926,0.1219,0.3842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113390896018546,165,1581113390895764112,,0.1897,0.118,0.3886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113390920690964,166,1581113390920440912,,0.1916,0.1199,0.3887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113390945413938,167,1581113390945086956,,0.1897,0.117,0.3909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113390970567646,168,1581113390970263004,,0.1926,0.1209,0.3853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113390995972927,169,1581113390995673894,,0.1926,0.1169,0.3887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113391020558340,170,1581113391020277976,,0.1907,0.119,0.3898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113391045935155,171,1581113391045679092,,0.1926,0.1159,0.3842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113391070509178,172,1581113391070204973,,0.1907,0.117,0.3864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113391095435717,173,1581113391095082044,,0.1906,0.114,0.3864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
