%time,field.header.seq,field.header.stamp,field.header.frame_id,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.magnetic_field_covariance0,field.magnetic_field_covariance1,field.magnetic_field_covariance2,field.magnetic_field_covariance3,field.magnetic_field_covariance4,field.magnetic_field_covariance5,field.magnetic_field_covariance6,field.magnetic_field_covariance7,field.magnetic_field_covariance8
1581113306003169262,1,1581113306002744913,,0.1935,0.1179,0.3888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113306027781943,2,1581113306027386903,,0.1916,0.1189,0.3921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113306052809028,3,1581113306052505016,,0.1935,0.1159,0.3809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113306077913447,4,1581113306077613115,,0.1935,0.1169,0.3865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113306103087444,5,1581113306102828979,,0.1926,0.1229,0.3876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113306128480484,6,1581113306128206968,,0.1935,0.1169,0.391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113306152850332,7,1581113306152558088,,0.1936,0.1219,0.3854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113306177728335,8,1581113306177438974,,0.1918,0.1298,0.3864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113306203340426,9,1581113306203047037,,0.1935,0.1149,0.3899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113306228362494,10,1581113306228054046,,0.1955,0.1198,0.3888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113306253325967,11,1581113306253091096,,0.1926,0.1209,0.3887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113306278769113,12,1581113306278454065,,0.1935,0.1149,0.3899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113306302696407,13,1581113306302360057,,0.1906,0.114,0.3819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113306329076547,14,1581113306328754901,,0.1926,0.115,0.3899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113306353115517,15,1581113306352865934,,0.1916,0.118,0.3898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113306377908254,16,1581113306377619028,,0.1935,0.1169,0.3899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113306402840132,17,1581113306402529001,,0.1935,0.1179,0.391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113306427742822,18,1581113306427386045,,0.1918,0.1308,0.3864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113306453136468,19,1581113306452884912,,0.1935,0.1169,0.3876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113306479141206,20,1581113306478899002,,0.1945,0.1198,0.3865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113306503312153,21,1581113306503057956,,0.1926,0.1199,0.3842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113306529783674,22,1581113306529278993,,0.1917,0.1219,0.3898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581113306552652113,23,1581113306552365064,,0.1916,0.117,0.3808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
